Time resolution is 1 ps
TIME = 55000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 65000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 75000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 85000 | START = 1 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 95000 | START = 1 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 105000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 115000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 125000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 135000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 145000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 155000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 165000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 175000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 185000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 195000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 205000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 215000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 225000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 235000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 245000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 255000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 265000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
TIME = 275000 | START = 0 | IDX_PRIME = 00 | FINISH = 0 | ENA/ENB = 00
